,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
165,2022-03-29,903.6842749910435,775.7111076137912,1010.2664712087379,903.6842749910435,903.6842749910435,-7.5199757939185465,-7.5199757939185465,-7.5199757939185465,-7.5199757939185465,-7.5199757939185465,-7.5199757939185465,0.0,0.0,0.0,896.1642991971249
166,2022-03-30,902.316361965193,777.8996418162834,1019.508485682303,902.316361965193,902.316361965193,-7.317853996954247,-7.317853996954247,-7.317853996954247,-7.317853996954247,-7.317853996954247,-7.317853996954247,0.0,0.0,0.0,894.9985079682388
167,2022-03-31,900.9484489393425,762.790106711502,1001.9144010813786,900.9484489393425,900.9484489393425,-13.66896489994388,-13.66896489994388,-13.66896489994388,-13.66896489994388,-13.66896489994388,-13.66896489994388,0.0,0.0,0.0,887.2794840393987
168,2022-04-01,899.5805359134922,752.0515945033185,1005.4344194075393,899.5805359134922,899.5805359134922,-16.944190502584064,-16.944190502584064,-16.944190502584064,-16.944190502584064,-16.944190502584064,-16.944190502584064,0.0,0.0,0.0,882.6363454109081
169,2022-04-04,895.253359843092,776.1500986067924,1013.3193972573671,895.253359843092,895.253359843092,0.4507663412830422,0.4507663412830422,0.4507663412830422,0.4507663412830422,0.4507663412830422,0.4507663412830422,0.0,0.0,0.0,895.704126184375
170,2022-04-05,893.8109678196251,754.1693954562608,1005.6319560035205,893.8109678196251,893.8109678196251,-7.519975793900531,-7.519975793900531,-7.519975793900531,-7.519975793900531,-7.519975793900531,-7.519975793900531,0.0,0.0,0.0,886.2909920257246
171,2022-04-06,892.3685757961584,759.8553874598695,1006.6355440528469,892.3685757961584,892.3685757961584,-7.317853996940215,-7.317853996940215,-7.317853996940215,-7.317853996940215,-7.317853996940215,-7.317853996940215,0.0,0.0,0.0,885.0507217992182
172,2022-04-07,890.9261837726917,752.2001379851334,996.6135533340812,890.9261837726917,890.9261837726917,-13.668964899937238,-13.668964899937238,-13.668964899937238,-13.668964899937238,-13.668964899937238,-13.668964899937238,0.0,0.0,0.0,877.2572188727545
173,2022-04-08,889.4837917492249,761.2377089988677,1000.0422974108448,889.4837917492249,889.4837917492249,-16.944190502566588,-16.944190502566588,-16.944190502566588,-16.944190502566588,-16.944190502566588,-16.944190502566588,0.0,0.0,0.0,872.5396012466583
174,2022-04-11,885.1566156788247,764.492915472675,1010.959202629139,885.1566156788247,885.1566156788247,0.4507663412879066,0.4507663412879066,0.4507663412879066,0.4507663412879066,0.4507663412879066,0.4507663412879066,0.0,0.0,0.0,885.6073820201126
175,2022-04-12,883.714223655358,762.7285782279978,996.3761999150703,883.714223655358,883.714223655358,-7.519975793918609,-7.519975793918609,-7.519975793918609,-7.519975793918609,-7.519975793918609,-7.519975793918609,0.0,0.0,0.0,876.1942478614393
176,2022-04-13,882.2718316318911,748.783208858419,996.2966980359337,882.2718316318911,882.2718316318911,-7.3178539969489105,-7.3178539969489105,-7.3178539969489105,-7.3178539969489105,-7.3178539969489105,-7.3178539969489105,0.0,0.0,0.0,874.9539776349422
177,2022-04-14,880.7695469791414,754.122378003629,987.0731821788941,880.7695469791414,880.7695469791414,-13.66896489995617,-13.66896489995617,-13.66896489995617,-13.66896489995617,-13.66896489995617,-13.66896489995617,0.0,0.0,0.0,867.1005820791852
178,2022-04-18,874.7604083681423,755.418603238625,996.8124241474031,874.7604083681423,874.7604083681423,0.4507663412367249,0.4507663412367249,0.4507663412367249,0.4507663412367249,0.4507663412367249,0.4507663412367249,0.0,0.0,0.0,875.2111747093791
179,2022-04-19,873.2581237153925,734.7883881454086,988.2733584208723,873.2581237153925,873.2581237153925,-7.5199757939085226,-7.5199757939085226,-7.5199757939085226,-7.5199757939085226,-7.5199757939085226,-7.5199757939085226,0.0,0.0,0.0,865.7381479214839
180,2022-04-20,871.7558390626426,736.8977100374526,977.7590348720151,871.7558390626426,871.7558390626426,-7.317853996957607,-7.317853996957607,-7.317853996957607,-7.317853996957607,-7.317853996957607,-7.317853996957607,0.0,0.0,0.0,864.437985065685
181,2022-04-21,870.2535544098929,740.9565700659673,990.8249134330687,870.2535544098929,870.2535544098929,-13.668964899912437,-13.668964899912437,-13.668964899912437,-13.668964899912437,-13.668964899912437,-13.668964899912437,0.0,0.0,0.0,856.5845895099804
182,2022-04-22,868.7512697571432,722.8556446597133,972.3520984518733,868.7512697571432,868.7512697571432,-16.944190502628285,-16.944190502628285,-16.944190502628285,-16.944190502628285,-16.944190502628285,-16.944190502628285,0.0,0.0,0.0,851.8070792545149
183,2022-04-25,864.2444157988938,742.361169334011,984.5664614900933,864.2444157988938,864.2444157988938,0.45076634124159315,0.45076634124159315,0.45076634124159315,0.45076634124159315,0.45076634124159315,0.45076634124159315,0.0,0.0,0.0,864.6951821401353
184,2022-04-26,862.7421311461438,739.0080358181403,969.7728215100035,862.7421311461438,862.7421311461438,-7.519975793918672,-7.519975793918672,-7.519975793918672,-7.519975793918672,-7.519975793918672,-7.519975793918672,0.0,0.0,0.0,855.2221553522252
